Month_Year,Avg_players,Gain,Percent_Gain,Peak_Players,URL,Date,Game_Name,churn,Gain_Ratio,Gain_Direction,Volatility
October 2018,469141.74,-73465.31,-13.54,1048662,https://steamcharts.com/app/578080,2018-10-01,PUBG: Battlegrounds,1,-0.15659512624052593,0,0.15659512624052593
September 2018,542607.05,-76713.44,-12.39,1125229,https://steamcharts.com/app/578080,2018-09-01,PUBG: Battlegrounds,1,-0.14137936468020457,0,0.14137936468020457
August 2018,619320.48,-69299.93,-10.06,1260894,https://steamcharts.com/app/578080,2018-08-01,PUBG: Battlegrounds,1,-0.11189671944967813,0,0.11189671944967813
July 2018,688620.42,-112047.81,-13.99,1350463,https://steamcharts.com/app/578080,2018-07-01,PUBG: Battlegrounds,1,-0.16271345830842482,0,0.16271345830842482
June 2018,800668.23,-75512.41,-8.62,1750216,https://steamcharts.com/app/578080,2018-06-01,PUBG: Battlegrounds,1,-0.09431173508657888,0,0.09431173508657888
May 2018,876180.64,-231001.16,-20.86,2175704,https://steamcharts.com/app/578080,2018-05-01,PUBG: Battlegrounds,1,-0.2636455879691658,0,0.2636455879691658
April 2018,1107181.8,-188226.79,-14.53,2456361,https://steamcharts.com/app/578080,2018-04-01,PUBG: Battlegrounds,1,-0.17000531439371566,0,0.17000531439371566
March 2018,1295408.59,-95606.71,-6.87,2799269,https://steamcharts.com/app/578080,2018-03-01,PUBG: Battlegrounds,1,-0.07380428903902822,0,0.07380428903902822
February 2018,1391015.3,-193871.48,-12.23,2934761,https://steamcharts.com/app/578080,2018-02-01,PUBG: Battlegrounds,1,-0.139374081651007,0,0.139374081651007
January 2018,1584886.77,148728.26,10.36,3236027,https://steamcharts.com/app/578080,2018-01-01,PUBG: Battlegrounds,0,0.09384156825285381,1,0.09384156825285381
December 2017,1436158.51,101988.42,7.64,3080769,https://steamcharts.com/app/578080,2017-12-01,PUBG: Battlegrounds,0,0.07101473778127736,1,0.07101473778127736
November 2017,1334170.09,247531.23,22.78,2915723,https://steamcharts.com/app/578080,2017-11-01,PUBG: Battlegrounds,0,0.18553198865371057,1,0.18553198865371057
October 2017,1086638.87,426446.12,64.59,2390946,https://steamcharts.com/app/578080,2017-10-01,PUBG: Battlegrounds,0,0.3924451184044244,1,0.3924451184044244
September 2017,660192.74,270665.33,69.49,1550463,https://steamcharts.com/app/578080,2017-09-01,PUBG: Battlegrounds,0,0.40997925848139444,1,0.40997925848139444
August 2017,389527.42,159825.72,69.58,874171,https://steamcharts.com/app/578080,2017-08-01,PUBG: Battlegrounds,0,0.41030672500539245,1,0.41030672500539245
July 2017,229701.7,89799.46,64.19,481291,https://steamcharts.com/app/578080,2017-07-01,PUBG: Battlegrounds,0,0.3909394662729967,1,0.3909394662729967
June 2017,139902.24,32460.64,30.21,267194,https://steamcharts.com/app/578080,2017-06-01,PUBG: Battlegrounds,0,0.23202373314394395,1,0.23202373314394395
May 2017,107441.6,37646.63,53.94,189456,https://steamcharts.com/app/578080,2017-05-01,PUBG: Battlegrounds,0,0.3503915615553007,1,0.3503915615553007
April 2017,69794.98,52243.84,297.67,140104,https://steamcharts.com/app/578080,2017-04-01,PUBG: Battlegrounds,0,0.7485329174103925,1,0.7485329174103925
